CUSIP,Start,End,Status, Tenor(mo's) ,  Yield  ,Issuer
09711A2C1,6/2/2023,2/7/2024,Called,8.33,  -    ,BAML
90279GDY2,4/19/2023,1/24/2024,Called,9.33,  -    ,UBS
90279GQP7,6/22/2023,12/28/2023,Called,6.3,  -    ,UBS
48133VEF3,3/24/2023,3/28/2024,Called,12.33,  -    ,JPM
17331CPP6,2/17/2023,8/22/2023,Called,6.2,  -    ,Citi
90279F7L9,3/24/2023,12/29/2023,Called,9.33,  -    ,UBS
06745MRA8,7/12/2023,5/20/2024,Called,10.43,  -    ,Barc
90279GYZ6,7/25/2023,1/30/2024,Called,6.3,  -    ,UBS
90279GZM4,7/25/2023,5/31/2024,Called,10.37,  -    ,UBS
06745N3K0,8/9/2023,2/16/2024,Called,6.37,  -    ,Barc
09711AHL5,8/21/2023,1/25/2024,Called,5.23,  -    ,BAML
90279WDH4,9/15/2023,12/15/2023,Called,3.03,  -    ,UBS
09711ARD2,9/26/2023,12/29/2023,Called,3.13,  -    ,BAML
09711ARJ9,9/29/2023,7/5/2024,Called,9.33,  -    ,BofA
17291QVB7,10/10/2023,4/15/2024,Called,6.27,  -    ,Citi
09711AWA2,10/18/2023,1/23/2024,Called,3.23,  -    ,BAML
61775MLF1,10/27/2023,2/1/2024,Called,3.23,  -    ,MS
61775MNX0,11/1/2023,2/6/2024,Called,3.23,  -    ,MS
09710P2V7,11/3/2023,5/8/2024,Called,6.23,  -    ,BAML
06745PAU5,12/11/2023,3/18/2024,Called,3.27,  -    ,Barc
90279WC77,1/2/2024,7/8/2024,Called,6.27,  -    ,UBS
90279WF66,1/10/2024,7/15/2024,Called,6.23,  -    ,UBS
09710PL61,1/16/2024,4/19/2024,Called,3.13,  -    ,BAML
61771WRJ9,1/25/2024,1/30/2025,Called,12.37, 9.00 ,MS
90279WT61,2/8/2024,11/14/2024,Called,9.33, 10.75 ,UBS
09710PXC5,2/16/2024,12/17/2024,Called,10.17, 10.10 ,BofA
40057YEG4,2/23/2024,5/29/2024,Called,3.2,  -  ,GS
05612CPG1,3/5/2024,9/16/2024,Called,6.5,  -  ,BNP
40057YPZ0,3/18/2024,6/24/2024,Called,3.27,  -  ,GS
90307DAH5,4/9/2024,11/14/2024,Called,7.3, 10.65 ,UBS
09711BNH5,4/17/2024,10/22/2024,Called,6.27, 10.80 ,BofA
06745QMN6,4/26/2024,8/2/2024,Called,3.27,  -  ,Barc
09711BZC3,5/13/2024,12/18/2024,Called,7.3, 9.70 ,BofA
90307DPP1,5/22/2024,Alive,Alive,13.73, 10.15 ,UBS
09711DQE5,6/5/2024,9/10/2024,Called,3.23,  -  ,BofA
06745U6U9,6/14/2024,11/21/2024,Called,5.33,  -  ,Barc
90307D2A9,7/5/2024,Alive,Alive,12.27, 10.00 ,UBS
09711DDE9,7/17/2024,11/21/2024,Called,4.23,  -  ,BofA
40058ED52,7/25/2024,11/29/2024,Called,4.23,  -  ,GS
09711DHM7,8/2/2024,12/5/2024,Called,4.17,  -  ,BofA
61776MZ73,8/7/2024,2/12/2025,Called,6.3,  -  ,MS
06745UQ86,8/12/2024,11/19/2024,Called,3.3,  -  ,Barc
05613FP99,8/15/2024,11/20/2024,Called,3.23,  -  ,BNP
90307QCV3,9/9/2024,2/13/2025,Called,5.23,  -  ,UBS
40058F3S0,9/12/2024,12/17/2024,Called,3.2,  -  ,GS
09711FXV4,9/17/2024,2/21/2025,Called,5.23,  -  ,BofA
61776R5H3,10/4/2024,Alive,Alive,9.23,  -    ,MS
06745YB76,10/10/2024,Alive,Alive,9.03, 10.30 ,Barc
06745YCA8,10/18/2024,Alive,Alive,8.77, 10.30 ,Barc
05613LLU3,10/23/2024,Alive,Alive,8.6, 10.56 ,BNP
61776WKU6,10/25/2024,Alive,Alive,8.53, 10.15 ,MS
05613LTV3,10/28/2024,Alive,Alive,8.43, 10.56 ,BNP
61776WH55,11/19/2024,Alive,Alive,7.7, 10.00 ,MS
06745YP97,11/25/2024,Alive,Alive,7.5, 10.00 ,Barc
09711F6T9,11/29/2024,Alive,Alive,7.37, 10.00 ,BofA
90307QZA4,12/9/2024,Alive,Alive,7.03, 10.00 ,UBS
05614BPS5,12/18/2024,Alive,Alive,6.73, 10.25 ,BNP
61777RRD7,12/23/2024,Alive,Alive,6.57, 11.60 ,MS
65541KAR5,1/13/2025,7/8/2025,Alive,5.87, 10.40 ,NOM
05615G7H7,1/16/2025,Alive,Alive,5.77, 10.44 ,BNP
09711GBT1,2/4/2025,Alive,Alive,5.13, 10.00 ,BofA
40058GSB8,2/7/2025,Alive,Alive,5.03, 10.00 ,GS
